GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,15058055,243265.217
0.03,0,682112,6300.825
0.05,0,301860,2470.821
0.01,0,2909544,37336.171
0.04,0,396521,2946.918
0.02,0,1200289,12400.073
0.14,0,32201,123.223
0.15,0,30390,114.043
0.25,0,11265,42.632
0.29,0,14338,65.772
0.11,0,49757,225.178
0.26,0,13001,55.593
0.13,0,36480,146.242
0.3,0,7291,33.682
0.12,0,46722,225.331
0.24,0,12006,42.735
0.31,0,8055,26.916
0.1,0,68983,321.627
0.23,0,13162,42.271
0.08,0,114829,746.996
0.21,0,20173,92.799
0.28,0,12639,44.382
0.07,0,136032,745.172
0.19,0,26648,98.976
0.09,0,81331,410.527
0.2,0,34050,200.121
0.22,0,13778,44.555
0.18,0,24017,87.99
0.27,0,10037,38.84
0.06,0,239917,1820.945
0.16,0,29543,114.143
0.17,0,40408,214.386
0.01,0.000909090909090909,1042049,24509.891
0.02,0.000909090909090909,640158,12899.139
0.03,0.000909090909090909,346651,6154.994
0.04,0.000909090909090909,202660,3343.173
0.04,0.00181818181818182,154612,3015.172
0.03,0.00181818181818182,256689,5520.527
0.28,0.000909090909090909,2276,36.904
0.3,0.000909090909090909,1579,29.26
0.31,0.000909090909090909,980,20.098
0.27,0.000909090909090909,2273,36.283
0.05,0.000909090909090909,135405,2292.477
0.05,0.00181818181818182,103946,2000.842
0.06,0.000909090909090909,89723,1495.974
0.06,0.00181818181818182,70620,1256.696
0.07,0.000909090909090909,63224,872.229
0.07,0.00272727272727273,39842,754.81
0.07,0.00181818181818182,50066,841.337
0.06,0.00272727272727273,53486,1099.615
0.08,0.00181818181818182,37829,629.017
0.08,0.00272727272727273,27595,523.053
0.07,0.00363636363636364,32966,676.673
0.05,0.00272727272727273,81495,1741.22
0.08,0.000909090909090909,47795,715.264
0.25,0.000909090909090909,3261,46.502
0.29,0.000909090909090909,2207,58.765
0.24,0.000909090909090909,3366,42.897
0.26,0.000909090909090909,2717,53.044
0.3,0.00181818181818182,1076,27.983
0.29,0.00181818181818182,1418,56.87
0.2,0.000909090909090909,6800,155.89
0.23,0.000909090909090909,3989,47.182
0.22,0.000909090909090909,4353,48.787
0.28,0.00181818181818182,1505,36.166
0.31,0.00181818181818182,781,21.106
0.3,0.00363636363636364,579,19.7
0.31,0.00272727272727273,518,18.264
0.3,0.00272727272727273,919,24.563
0.31,0.00363636363636364,373,13.627
0.09,0.00181818181818182,27275,456.77
0.09,0.00272727272727273,20780,386.977
0.09,0.000909090909090909,37007,476.606
0.1,0.00181818181818182,22834,349.536
0.11,0.00363636363636364,10627,201.233
0.1,0.00363636363636364,13885,255.252
0.11,0.00181818181818182,15910,231.755
0.1,0.00272727272727273,19238,341.134
0.09,0.00454545454545455,14913,334.941
0.1,0.000909090909090909,27172,351.746
0.1,0.00454545454545455,13577,277.632
0.09,0.00363636363636364,18513,367.813
0.08,0.00363636363636364,25600,517.438
0.19,0.000909090909090909,6263,85.263
0.26,0.00181818181818182,1560,46.544
0.21,0.000909090909090909,5022,85.138
0.29,0.00272727272727273,1132,45.158
0.28,0.00272727272727273,942,30.474
0.18,0.000909090909090909,6692,80.583
0.26,0.00272727272727273,1100,39.102
0.29,0.00363636363636364,766,41.323
0.11,0.000909090909090909,23217,257.645
0.2,0.00181818181818182,4301,125.814
0.27,0.00181818181818182,1529,35.297
0.17,0.000909090909090909,8699,164.589
0.3,0.00454545454545455,581,25.374
0.31,0.00454545454545455,420,15.741
0.3,0.00636363636363636,273,8.47
0.31,0.00636363636363636,288,13.725
0.25,0.00181818181818182,2159,40.567
0.3,0.00545454545454545,383,12.905
0.31,0.00545454545454545,280,12.721
0.12,0.00181818181818182,14601,234.149
0.12,0.000909090909090909,17741,230.746
0.12,0.00363636363636364,10292,191.772
0.12,0.00272727272727273,11123,209.533
0.11,0.00272727272727273,14281,243.113
0.18,0.00181818181818182,4826,74.74
0.24,0.00272727272727273,1144,26.31
0.15,0.000909090909090909,9928,111.002
0.23,0.00181818181818182,2599,40.072
0.28,0.00363636363636364,584,18.029
0.25,0.00363636363636364,1050,26.965
0.29,0.00454545454545455,507,35.372
0.24,0.00363636363636364,953,27.877
0.28,0.00454545454545455,663,22.224
0.22,0.00181818181818182,2804,41.652
0.27,0.00272727272727273,1114,27.326
0.3,0.00818181818181818,345,9.679
0.31,0.00818181818181818,113,6.073
0.25,0.00272727272727273,1512,32.126
0.28,0.00545454545454545,479,11.889
0.3,0.00727272727272727,313,11.192
0.17,0.00181818181818182,6066,131.069
0.24,0.00181818181818182,2018,36.833
0.14,0.000909090909090909,12977,136.884
0.31,0.00909090909090909,182,8.423
0.13,0.000909090909090909,13776,154.079
0.16,0.000909090909090909,9657,113.485
0.14,0.00181818181818182,11168,147.113
0.21,0.00272727272727273,2258,58.85
0.23,0.00272727272727273,1946,34.775
0.27,0.00454545454545455,520,18.01
0.26,0.00454545454545455,799,30.811
0.19,0.00181818181818182,4106,72.447
0.29,0.00636363636363636,220,17.386
0.31,0.00727272727272727,183,7.62
0.21,0.00181818181818182,2761,64.953
0.19,0.00272727272727273,3109,66.8
0.24,0.00454545454545455,1207,32.858
0.26,0.00363636363636364,693,29.413
0.2,0.00272727272727273,2725,96.492
0.19,0.00363636363636364,2989,65.124
0.18,0.00363636363636364,3597,65.29
0.19,0.00454545454545455,1870,38.175
0.18,0.00272727272727273,3503,61.532
0.17,0.00272727272727273,4064,94.909
0.16,0.00181818181818182,6402,99.722
0.25,0.00454545454545455,557,16.824
0.24,0.00636363636363636,667,21.682
0.24,0.00545454545454545,1044,28.939
0.23,0.00363636363636364,1370,33.283
0.26,0.00636363636363636,466,17.938
0.26,0.00545454545454545,450,19.664
0.26,0.00727272727272727,258,11.921
0.15,0.00181818181818182,9068,129.35
0.18,0.00454545454545455,3466,70.818
0.17,0.00363636363636364,2876,70.826
0.16,0.00272727272727273,6193,105.494
0.24,0.00727272727272727,495,11.901
0.23,0.00454545454545455,1180,24.091
0.22,0.00272727272727273,1919,34.102
0.22,0.00363636363636364,1577,32.397
0.49,0,2639,12.008
0.42,0,1569,3.772
0.33,0,1815,5.769
0.38,0,1330,3.363
0.45,0,1680,4.394
0.34,0,1713,4.778
0.46,0,2128,5.394
0.47,0,2672,5.068
0.43,0,1615,4.202
0.36,0,1656,4.615
0,0.000909090909090909,607500,19677.062
0.44,0,1703,4.528
0.41,0,1623,4.204
0.13,0.00363636363636364,7634,132.923
0.13,0.00181818181818182,10397,151.407
0.16,0.00363636363636364,5393,91.935
0.14,0.00363636363636364,7470,131.439
0.13,0.00272727272727273,9549,149.493
0.39,0,1658,4.434
0.48,0,15247,69.118
0.35,0,1730,4.862
0.49,0.000909090909090909,390,10.536
0.32,0,2033,5.408
0.01,0.00181818181818182,549524,15828.807
0.02,0.00181818181818182,404617,10184.872
0.4,0,1476,3.76
0.37,0,1538,3.719
0.11,0.00454545454545455,10246,198.96
0.13,0.00545454545454545,6011,120.296
0.15,0.00545454545454545,3564,79.963
0.13,0.00636363636363636,4249,98.918
0.13,0.00454545454545455,6530,124.72
0.12,0.00636363636363636,5282,124.759
0.12,0.00545454545454545,6746,143.225
0.14,0.00545454545454545,5802,118.029
0.15,0.00363636363636364,5379,102.865
0.14,0.00636363636363636,3807,87.019
0.17,0.00636363636363636,2701,50.932
0.16,0.00727272727272727,3428,70.651
0.16,0.00454545454545455,4164,77.234
0.13,0.00727272727272727,5178,119.38
0.14,0.00272727272727273,8120,134.207
0.14,0.00454545454545455,5265,110.237
0.17,0.00454545454545455,3820,78.7
0.16,0.00545454545454545,2931,65.921
0.02,0.00272727272727273,279887,7896.87
0.49,0.00181818181818182,292,11.828
0.49,0.00272727272727273,205,9.672
0.49,0.00363636363636364,206,10.307
0.03,0.00272727272727273,194554,4920.886
0,0.00181818181818182,154029,6174.243
0.01,0.00272727272727273,306099,10105.535
0.03,0.00363636363636364,146283,4122.717
0.02,0.00363636363636364,205297,6289.923
0.03,0.00454545454545455,112185,3481.84
0.04,0.00454545454545455,77201,2139.794
0.18,0.00636363636363636,2240,45.249
0.2,0.00363636363636364,2350,75.922
0.21,0.00454545454545455,2357,49.625
0.21,0.00545454545454545,1195,31.966
0.22,0.00545454545454545,1406,31.123
0.06,0.00363636363636364,43708,962.931
0.08,0.00454545454545455,20958,462.671
0.09,0.00545454545454545,14927,356.563
0.1,0.00636363636363636,7277,179.18
0.11,0.00727272727272727,7216,167.613
0.11,0.00636363636363636,6230,157.967
0.12,0.00454545454545455,7810,152.779
0.14,0.00727272727272727,3637,79.108
0.17,0.00727272727272727,2499,54.539
0.15,0.00818181818181818,2735,68.321
0.13,0.00818181818181818,3852,97.779
0.15,0.00636363636363636,3663,77.234
0.15,0.00454545454545455,4588,101.343
0.48,0.000909090909090909,1047,48.727
0.49,0.00454545454545455,121,6.585
0.49,0.00636363636363636,110,9.303
0.49,0.00727272727272727,113,5.973
0.49,0.00818181818181818,58,4.393
0.49,0.00545454545454545,85,6.042
0.03,0.00545454545454545,88705,2852.915
0.04,0.00545454545454545,62732,1862.461
0.04,0.00363636363636364,101760,2573.509
0.04,0.00272727272727273,118027,2696.54
0.18,0.00545454545454545,2201,44.246
0.17,0.00545454545454545,2557,51.337
0.19,0.00545454545454545,2508,48.219
0.19,0.00818181818181818,1382,30.831
0.2,0.00818181818181818,809,18.858
0.2,0.00545454545454545,1710,40.432
0.22,0.00636363636363636,869,17.229
0.05,0.00363636363636364,67082,1583.02
0.15,0.00272727272727273,6218,107.59
0.2,0.00636363636363636,951,19.16
0.2,0.00454545454545455,1601,52.441
0.22,0.00454545454545455,893,21.637
0.22,0.00727272727272727,605,15.157
0.23,0.00727272727272727,501,14.552
0.25,0.00545454545454545,671,22.793
0.05,0.00454545454545455,63650,1649.908
0.21,0.00363636363636364,1738,42.075
0.07,0.00454545454545455,25773,581.676
0.06,0.00454545454545455,40967,954.119
0.07,0.00545454545454545,24938,615.874
0.08,0.00545454545454545,18263,435.849
0.1,0.00545454545454545,10045,220.815
0.11,0.00545454545454545,8644,195.16
0.09,0.00636363636363636,11175,276.327
0.06,0.00545454545454545,33181,813.825
0.48,0.00181818181818182,601,42.786
0.49,0.01,73,5.413
0.49,0.0127272727272727,19,2.551
0.49,0.0109090909090909,22,3.634
0.49,0.00909090909090909,72,6.061
0.06,0.00818181818181818,21072,617.985
0.06,0.00727272727272727,27372,765.072
0.05,0.00636363636363636,37550,1120.436
0.07,0.00909090909090909,14841,446.761
0.06,0.00636363636363636,28108,779.005
0.04,0.00636363636363636,50810,1610.989
0.07,0.01,10195,310.443
0.06,0.00909090909090909,16080,543.45
0.05,0.00727272727272727,29386,916.561
0.48,0.00272727272727273,367,31.762
0.48,0.00363636363636364,256,26.275
0.48,0.00454545454545455,226,27.302
0.48,0.00545454545454545,212,25.114
0.48,0.00636363636363636,149,18.325
0.05,0.00545454545454545,49110,1361.831
0.47,0.000909090909090909,281,3.148
0.47,0.00181818181818182,228,3.719
0.21,0.00727272727272727,820,23.677
0.23,0.00545454545454545,852,19.971
0.23,0.00636363636363636,584,11.801
0.09,0.00818181818181818,9654,275.228
0.14,0.00818181818181818,2914,70.434
0.08,0.00818181818181818,16601,447.981
0.12,0.00909090909090909,2682,76.81
0.16,0.00636363636363636,2496,56.666
0.08,0.00636363636363636,14068,375.103
0.1,0.00818181818181818,8211,202.954
0.14,0.00909090909090909,2831,75.069
0.09,0.00909090909090909,9088,290.041
0.13,0.00909090909090909,3051,78.713
0.1,0.00909090909090909,6426,181.049
0.07,0.00636363636363636,23607,615.461
0.07,0.00727272727272727,18961,504.671
0.11,0.00818181818181818,4235,112.687
0.08,0.00727272727272727,12709,328.942
0.09,0.00727272727272727,9642,244.399
0.48,0.00727272727272727,128,15.861
0.48,0.00909090909090909,110,16.111
0.47,0.00272727272727273,148,3.274
0.45,0.000909090909090909,439,4.862
0.43,0.000909090909090909,322,3.656
0.49,0.0136363636363636,19,1.828
0.49,0.0118181818181818,36,3.11
0.49,0.0145454545454545,17,1.953
0.48,0.0127272727272727,9,2.544
0.48,0.0109090909090909,45,10.399
0.46,0.00181818181818182,120,1.875
0.07,0.00818181818181818,16915,465.573
0.09,0.0118181818181818,6550,192.187
0.09,0.0109090909090909,7186,196.881
0.08,0.00909090909090909,10527,310.233
0.1,0.0127272727272727,4030,124.573
0.09,0.01,6281,192.447
0.44,0.000909090909090909,367,3.758
0.48,0.0118181818181818,55,7.194
0.48,0.01,67,10.879
0.46,0.000909090909090909,317,3.601
0.05,0.00818181818181818,25529,857.111
0.09,0.0127272727272727,4865,163.061
0.08,0.0118181818181818,7659,239.049
0.1,0.0145454545454545,2400,76.826
0.09,0.0136363636363636,3853,127.096
0.08,0.0109090909090909,8993,269.572
0.47,0.00363636363636364,127,3.195
0.47,0.00454545454545455,44,1.29
0.46,0.00272727272727273,205,4.181
0.47,0.00545454545454545,68,2.748
0.47,0.00636363636363636,45,1.863
0.45,0.00181818181818182,199,3.579
0.4,0.000909090909090909,296,3.524
0.42,0.00181818181818182,358,5.705
0.39,0.000909090909090909,346,4.151
0.41,0.00181818181818182,290,5.042
0.43,0.00272727272727273,241,4.743
0.44,0.00181818181818182,339,5.9
0.43,0.00181818181818182,281,4.598
0.44,0.00272727272727273,241,5.213
0.42,0.000909090909090909,325,3.639
0.2,0.01,586,15.945
0.25,0.00727272727272727,539,11.807
0.27,0.00363636363636364,1082,27.949
0.11,0.00909090909090909,4628,120.726
0.17,0.01,1022,22.735
0.12,0.00727272727272727,4948,118.204
0.19,0.00909090909090909,635,17.116
0.15,0.0118181818181818,935,25.484
0.21,0.0136363636363636,560,14.524
0.27,0.01,174,4.865
0.29,0.00545454545454545,414,23.62
0.13,0.0127272727272727,1743,53.046
0.19,0.0136363636363636,306,11.552
0.24,0.0109090909090909,470,11.909
0.27,0.00545454545454545,571,19.719
0.14,0.01,2693,64.075
0.18,0.00727272727272727,1738,41.042
0.18,0.00909090909090909,1702,36.082
0.21,0.00636363636363636,1270,25.908
0.14,0.0127272727272727,1141,34.202
0.2,0.0136363636363636,425,13.004
0.25,0.01,167,3.867
0.13,0.0136363636363636,1484,46.907
0.19,0.0145454545454545,180,7.382
0.23,0.0109090909090909,437,10.659
0.37,0.000909090909090909,268,3.52
0.36,0.000909090909090909,367,4.16
0.12,0.0118181818181818,3110,92.668
0.17,0.0118181818181818,1238,33.582
0.18,0.00818181818181818,1723,35.646
0.16,0.0118181818181818,580,18.886
0.33,0.000909090909090909,574,6.374
0.41,0.000909090909090909,357,4.027
0.38,0.000909090909090909,516,5.35
0.1,0.00727272727272727,7442,183.796
0.11,0.0109090909090909,3290,97.735
0.12,0.01,3111,84.605
0.12,0.0109090909090909,2440,78.273
0.13,0.0109090909090909,2042,61.451
0.32,0.000909090909090909,502,5.617
0.1,0.01,6934,203.465
0.11,0.01,4472,135.612
0.46,0.00545454545454545,121,3.612
0.46,0.00727272727272727,80,3.629
0.44,0.00363636363636364,157,4.3
0.43,0.00363636363636364,181,4.672
0.39,0.00181818181818182,334,6.113
0.47,0.00909090909090909,35,2.566
0.47,0.00818181818181818,85,3.524
0.45,0.00363636363636364,34,0.866
0.11,0.0118181818181818,2896,91.351
0.1,0.0109090909090909,4968,150.557
0.12,0.0127272727272727,2376,66.817
0.45,0.00454545454545455,229,5.927
0.45,0.00545454545454545,89,2.832
0.42,0.00272727272727273,170,3.866
0.37,0.00181818181818182,390,6.526
0.45,0.00272727272727273,175,3.465
0.46,0.00454545454545455,79,2.275
0.46,0.00363636363636364,117,2.502
0.47,0.00727272727272727,68,2.601
0.46,0.00818181818181818,31,1.752
0.46,0.00636363636363636,34,1.42
0.35,0.000909090909090909,469,4.995
0.02,0.00454545454545455,135136,4454.271
0.11,0.0127272727272727,3068,95.121
0.1,0.0118181818181818,3810,115.181
0.13,0.0145454545454545,849,34.749
0.12,0.0136363636363636,2106,57.476
0.41,0.00272727272727273,200,4.537
0.34,0.000909090909090909,536,5.154
0.39,0.00272727272727273,166,3.289
0.38,0.00181818181818182,262,4.238
0.4,0.00363636363636364,184,5.518
0.42,0.00454545454545455,120,4.429
0.43,0.00454545454545455,137,4.063
0.43,0.00545454545454545,171,7.308
0.4,0.00181818181818182,279,4.208
0.08,0.01,8466,249.131
0.32,0.00181818181818182,441,6.023
0.18,0.01,767,21.705
0.26,0.0109090909090909,426,9.55
0.32,0.00818181818181818,205,4.961
0.35,0.00454545454545455,260,5.327
0.16,0.01,1373,30.282
0.34,0.00454545454545455,209,4.461
0.33,0.00181818181818182,376,5.276
0.17,0.00818181818181818,2043,41.889
0.16,0.00909090909090909,1433,34.73
0.23,0.01,496,11.217
0.29,0.00727272727272727,286,17.399
0.27,0.0145454545454545,183,5.151
0.33,0.0109090909090909,100,4.294
0.35,0.00545454545454545,306,9.029
0.17,0.0136363636363636,1018,30.816
0.25,0.0154545454545455,67,1.951
0.31,0.0118181818181818,86,2.494
0.34,0.00636363636363636,151,3.041
0.13,0.01,2446,73.423
0.19,0.0109090909090909,586,12.81
0.24,0.00818181818181818,405,12.289
0.21,0.01,417,15.326
0.25,0.0145454545454545,64,1.93
0.3,0.0109090909090909,221,7.08
0.17,0.0145454545454545,852,21.838
0.24,0.0154545454545455,114,4.115
0.29,0.0118181818181818,294,7.866
0.23,0.00818181818181818,451,12.876
0.34,0.00272727272727273,286,5.231
0.35,0.00272727272727273,269,5.505
0.36,0.00181818181818182,419,5.859
0.4,0.00272727272727273,140,2.961
0.16,0.00818181818181818,1786,41.655
0.14,0.0118181818181818,2607,79.836
0.19,0.0118181818181818,639,16.02
